

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.013  000.013: --- NVIM STARTING ---
005.770  005.757: locale set
012.682  006.911: inits 1
012.708  000.027: window checked
016.032  003.324: parsing arguments
016.040  000.008: expanding arguments
017.169  001.129: inits 2
017.336  000.167: init highlight
019.815  000.680  000.680: sourcing /Users/paddy/.config/nvim/autoload/zvim/util.vim
020.634  000.442  000.442: sourcing /Users/paddy/.SpaceVim/config/functions.vim
021.511  000.491  000.491: sourcing /Users/paddy/.SpaceVim/config/init.vim
022.284  000.047  000.047: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/api.vim
023.155  000.144  000.144: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/api/system.vim
023.763  001.107  000.963: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/api/file.vim
024.589  002.741  001.586: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim.vim
025.476  000.540  000.540: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/default.vim
028.025  000.435  000.435: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/autoload/provider/pythonx.vim
110.699  000.498  000.498: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/autoload/remote/host.vim
110.847  083.643  082.710: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/autoload/provider/python3.vim
112.428  000.483  000.483: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/mapping.vim
114.231  000.340  000.340: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/commands.vim
114.595  000.032  000.032: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/util.vim
115.008  000.037  000.037: sourcing /Users/paddy/.SpaceVim.d/init.vim
115.884  000.586  000.586: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/mapping/leader.vim
117.678  000.826  000.826: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/mapping/guide.vim
122.103  000.077  000.077: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/plugins.vim
122.971  000.576  000.576: sourcing /Users/paddy/.config/nvim/autoload/zvim/plug.vim
126.128  002.753  002.753: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/dein.vim/autoload/dein.vim
127.960  001.348  001.348: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/dein.vim/autoload/dein/util.vim
128.705  000.090  000.090: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/ftoff.vim
129.979  000.683  000.683: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/autoload/dein/autoload.vim
131.745  000.829  000.829: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/autoload/dein/types/git.vim
132.385  001.919  001.091: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/autoload/dein/parse.vim
133.822  000.050  000.050: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/lang.vim
149.899  000.050  000.050: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/edit.vim
156.197  000.153  000.153: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/ui.vim
163.507  000.212  000.212: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/tools.vim
172.702  000.203  000.203: sourcing /Users/paddy/.SpaceVim/config/plugins_before/vim-bookmarks.vim
191.434  000.041  000.041: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/checkers.vim
192.947  000.050  000.050: sourcing /Users/paddy/.SpaceVim/config/plugins_before/neomake.vim
193.162  000.021  000.021: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/checkers.vim
193.676  000.064  000.064: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/format.vim
195.077  000.018  000.018: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/format.vim
195.552  000.039  000.039: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/chat.vim
196.756  000.011  000.011: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/chat.vim
197.286  000.081  000.081: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/git.vim
203.192  000.187  000.187: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/lang/go.vim
206.299  000.068  000.068: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/lang/markdown.vim
211.169  000.047  000.047: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/core.vim
213.512  000.085  000.085: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/unite.vim
239.625  000.040  000.040: sourcing /Users/paddy/.SpaceVim/config/plugins_before/ctrlsf.vim
255.121  000.034  000.034: sourcing /Users/paddy/.SpaceVim/config/plugins_before/vimfiler.vim
255.615  000.028  000.028: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/github.vim
258.053  000.039  000.039: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/denite.vim
259.728  000.011  000.011: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/denite.vim
260.222  000.059  000.059: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/ctrlp.vim
270.793  000.023  000.023: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/ctrlp.vim
271.296  000.081  000.081: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/autocomplete.vim
280.564  000.398  000.398: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/colorscheme.vim
294.635  000.083  000.083: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/layers/colorscheme.vim
302.139  000.126  000.126: sourcing /Users/paddy/.SpaceVim/config/plugins/vim-ref.vim
302.605  000.032  000.032: sourcing /Users/paddy/.SpaceVim/config/plugins/unite-radio.vim
303.803  000.123  000.123: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/denite.nvim/autoload/denite/custom.vim
304.969  000.549  000.549: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/denite.nvim/autoload/denite/util.vim
307.179  004.167  003.496: sourcing /Users/paddy/.SpaceVim/config/plugins/denite.vim
307.682  000.044  000.044: sourcing /Users/paddy/.SpaceVim/config/plugins/tagbar.vim
308.360  000.172  000.172: sourcing /Users/paddy/.SpaceVim/config/plugins/vim-startify.vim
308.824  000.086  000.086: sourcing /Users/paddy/.SpaceVim/config/plugins/unite-gtags.vim
309.918  000.137  000.137: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/autoload/vimfiler/custom.vim
310.091  000.900  000.763: sourcing /Users/paddy/.SpaceVim/config/plugins/vimfiler.vim
310.613  000.086  000.086: sourcing /Users/paddy/.SpaceVim/config/plugins/neomake.vim
312.465  000.828  000.828: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/unite/custom.vim
313.149  000.137  000.137: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/unite/filters/matcher_default.vim
315.418  000.892  000.892: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/vital/unite.vim
317.076  000.825  000.825: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/vital/_unite/Prelude.vim
317.511  001.462  000.637: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/vital/_unite/Prelude.vim
318.594  004.875  002.522: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/unite/util.vim
319.217  000.125  000.125: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/unite/filters/sorter_default.vim
321.213  010.039  004.074: sourcing /Users/paddy/.SpaceVim/config/plugins/unite.vim
425.902  103.688  103.688: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/autoload/provider/python.vim
426.135  104.525  000.837: sourcing /Users/paddy/.SpaceVim/config/plugins/ctrlp.vim
427.258  000.131  000.131: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/api/messletters.vim
428.829  002.126  001.996: sourcing /Users/paddy/.SpaceVim/config/plugins/vim-airline.vim
429.200  000.019  000.019: sourcing /Users/paddy/.SpaceVim/config/plugins/gruvbox.vim
437.118  007.157  007.157: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/colors/gruvbox.vim
437.182  007.641  000.484: sourcing /Users/paddy/.SpaceVim/config/general.vim
437.795  000.296  000.296: sourcing /Users/paddy/.config/nvim/autoload/SpaceVim/autocmds.vim
438.429  000.129  000.129: sourcing /Users/paddy/.SpaceVim/config/neovim.vim
438.754  000.036  000.036: sourcing /Users/paddy/.SpaceVim/config/commands.vim
439.028  000.012  000.012: sourcing /Users/paddy/.config/nvim/filetype.vim
463.520  004.262  004.262: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/ftdetect/ftdetect.vim
463.794  024.404  020.142: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/filetype.vim
464.465  000.085  000.085: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/ftplugin.vim
465.078  000.102  000.102: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/indent.vim
467.462  000.399  000.399: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/syntax/syncolor.vim
